DataReferencia;CodigoInstrumento;AcaoAtualizacao;PrecoNegocio;QuantidadeNegociada;HoraFechamento;CodigoIdentificadorNegocio;TipoSessaoPregao;DataNegocio;CodigoParticipanteComprador;CodigoParticipanteVendedor
2023-11-21;FLRY3;0;17,000;100;100100066;10;1;2023-11-21;115;308
2023-11-21;FLRY3;0;17,000;100;100100066;20;1;2023-11-21;90;1618
2023-11-21;FLRY3;0;17,000;100;100100066;30;1;2023-11-21;90;85
2023-11-21;FLRY3;0;17,000;100;100100066;40;1;2023-11-21;90;85
2023-11-21;FLRY3;0;17,000;100;100100066;50;1;2023-11-21;27;85
2023-11-21;FLRY3;0;16,960;100;100100286;60;1;2023-11-21;120;120
2023-11-21;FLRY3;0;16,960;100;100104644;70;1;2023-11-21;120;120
2023-11-21;FLRY3;0;16,960;100;100119022;80;1;2023-11-21;120;23
2023-11-21;FLRY3;0;16,960;1700;100119023;90;1;2023-11-21;120;8
2023-11-21;FLRY3;0;16,960;100;100119023;100;1;2023-11-21;3;8
2023-11-21;FLRY3;0;16,960;100;100119034;110;1;2023-11-21;45;72
2023-11-21;FLRY3;0;16,960;100;100148444;120;1;2023-11-21;3;72
2023-11-21;FLRY3;0;16,960;300;100148444;130;1;2023-11-21;3;85
2023-11-21;FLRY3;0;16,960;100;100148444;140;1;2023-11-21;3;23
2023-11-21;FLRY3;0;16,960;300;100148444;150;1;2023-11-21;3;16
2023-11-21;FLRY3;0;16,960;400;100148444;160;1;2023-11-21;3;16
2023-11-21;FLRY3;0;16,970;300;100148444;170;1;2023-11-21;3;45
2023-11-21;FLRY3;0;16,970;300;100148444;180;1;2023-11-21;3;85
2023-11-21;FLRY3;0;16,970;1000;100148444;190;1;2023-11-21;3;1618
2023-11-21;FLRY3;0;16,970;4300;100148444;200;1;2023-11-21;3;1618
2023-11-21;FLRY3;0;16,970;1600;100148454;210;1;2023-11-21;3;8
2023-11-21;FLRY3;0;17,000;100;100148457;220;1;2023-11-21;45;23
2023-11-21;FLRY3;0;17,000;100;100148457;230;1;2023-11-21;45;120
2023-11-21;FLRY3;0;17,000;200;100148457;240;1;2023-11-21;45;85
2023-11-21;FLRY3;0;17,000;100;100148457;250;1;2023-11-21;45;85
2023-11-21;FLRY3;0;17,010;100;100148459;260;1;2023-11-21;45;120
2023-11-21;FLRY3;0;17,030;100;100148465;270;1;2023-11-21;45;45
2023-11-21;FLRY3;0;16,990;100;100201137;280;1;2023-11-21;3;72
2023-11-21;FLRY3;0;16,990;100;100201137;290;1;2023-11-21;3;85
2023-11-21;FLRY3;0;16,990;100;100201137;300;1;2023-11-21;3;85
2023-11-21;FLRY3;0;16,990;100;100201137;310;1;2023-11-21;3;8
2023-11-21;FLRY3;0;17,000;900;100201137;320;1;2023-11-21;3;45
2023-11-21;FLRY3;0;17,000;100;100201141;330;1;2023-11-21;45;8
2023-11-21;FLRY3;0;17,000;100;100201682;340;1;2023-11-21;8;8
2023-11-21;FLRY3;0;17,000;300;100201682;350;1;2023-11-21;8;85
2023-11-21;FLRY3;0;16,960;100;100209100;360;1;2023-11-21;120;23
2023-11-21;FLRY3;0;16,960;100;100209220;370;1;2023-11-21;238;23
2023-11-21;FLRY3;0;16,960;100;100210252;380;1;2023-11-21;85;23
2023-11-21;FLRY3;0;16,970;200;100216363;390;1;2023-11-21;40;16
2023-11-21;FLRY3;0;16,940;100;100217414;400;1;2023-11-21;120;16
2023-11-21;FLRY3;0;16,940;200;100217414;410;1;2023-11-21;85;16
2023-11-21;FLRY3;0;16,920;100;100233448;420;1;2023-11-21;120;16
2023-11-21;FLRY3;0;16,920;200;100233448;430;1;2023-11-21;85;16
2023-11-21;FLRY3;0;16,940;100;100233451;440;1;2023-11-21;45;72
2023-11-21;FLRY3;0;16,920;100;100234164;450;1;2023-11-21;8;16
2023-11-21;FLRY3;0;16,920;100;100234164;460;1;2023-11-21;120;16
2023-11-21;FLRY3;0;16,920;200;100234164;470;1;2023-11-21;85;16
2023-11-21;FLRY3;0;16,910;100;100235258;480;1;2023-11-21;40;16
2023-11-21;FLRY3;0;16,910;200;100235258;490;1;2023-11-21;85;16
2023-11-21;FLRY3;0;16,910;100;100235258;500;1;2023-11-21;120;16
2023-11-21;FLRY3;0;16,900;600;100252333;510;1;2023-11-21;3;16
2023-11-21;FLRY3;0;16,900;100;100252333;520;1;2023-11-21;3;3
2023-11-21;FLRY3;0;16,920;100;100252336;530;1;2023-11-21;45;8
2023-11-21;FLRY3;0;16,920;100;100252337;540;1;2023-11-21;1618;72
2023-11-21;FLRY3;0;16,930;100;100252571;550;1;2023-11-21;1618;16
2023-11-21;FLRY3;0;16,930;100;100252573;560;1;2023-11-21;1618;16
2023-11-21;FLRY3;0;16,930;200;100252573;570;1;2023-11-21;1618;16
2023-11-21;FLRY3;0;16,920;100;100258095;580;1;2023-11-21;8;16
2023-11-21;FLRY3;0;16,920;100;100258095;590;1;2023-11-21;120;16
2023-11-21;FLRY3;0;16,920;100;100258095;600;1;2023-11-21;8;16
2023-11-21;FLRY3;0;16,950;100;100320539;610;1;2023-11-21;1618;8
2023-11-21;FLRY3;0;16,950;600;100320539;620;1;2023-11-21;1618;16
2023-11-21;FLRY3;0;16,950;400;100320539;630;1;2023-11-21;1618;16
2023-11-21;FLRY3;0;16,960;100;100320540;640;1;2023-11-21;8;120
2023-11-21;FLRY3;0;16,960;1100;100320540;650;1;2023-11-21;8;45
2023-11-21;FLRY3;0;16,980;200;100320546;660;1;2023-11-21;45;45
2023-11-21;FLRY3;0;16,950;100;100430835;670;1;2023-11-21;72;3
2023-11-21;FLRY3;0;16,960;100;100442096;680;1;2023-11-21;238;8
2023-11-21;FLRY3;0;16,960;100;100442096;690;1;2023-11-21;238;8
2023-11-21;FLRY3;0;16,960;900;100442096;700;1;2023-11-21;238;16
2023-11-21;FLRY3;0;16,960;400;100442096;710;1;2023-11-21;238;16
2023-11-21;FLRY3;0;16,960;100;100442100;720;1;2023-11-21;45;72
2023-11-21;FLRY3;0;16,970;100;100458318;730;1;2023-11-21;3;72
2023-11-21;FLRY3;0;16,970;200;100458318;740;1;2023-11-21;3;120
2023-11-21;FLRY3;0;16,970;100;100458318;750;1;2023-11-21;3;8
2023-11-21;FLRY3;0;16,970;100;100458318;760;1;2023-11-21;3;8
2023-11-21;FLRY3;0;16,970;9500;100458319;770;1;2023-11-21;3;8
2023-11-21;FLRY3;0;16,970;100;100458322;780;1;2023-11-21;45;8
2023-11-21;FLRY3;0;16,970;100;100458324;790;1;2023-11-21;45;8
2023-11-21;FLRY3;0;16,970;200;100458324;800;1;2023-11-21;45;45
2023-11-21;FLRY3;0;16,980;100;100458329;810;1;2023-11-21;45;8
2023-11-21;FLRY3;0;16,980;100;100458329;820;1;2023-11-21;45;120
