DataReferencia;CodigoInstrumento;AcaoAtualizacao;PrecoNegocio;QuantidadeNegociada;HoraFechamento;CodigoIdentificadorNegocio;TipoSessaoPregao;DataNegocio;CodigoParticipanteComprador;CodigoParticipanteVendedor
2023-11-22;FLRY3;0;17,010;100;100300025;10;1;2023-11-22;40;40
2023-11-22;FLRY3;0;17,010;700;100300025;20;1;2023-11-22;40;40
2023-11-22;FLRY3;0;17,010;200;100300025;30;1;2023-11-22;40;308
2023-11-22;FLRY3;0;17,010;100;100300025;40;1;2023-11-22;120;308
2023-11-22;FLRY3;0;17,010;200;100300025;50;1;2023-11-22;120;3
2023-11-22;FLRY3;0;17,010;100;100300025;60;1;2023-11-22;8;3
2023-11-22;FLRY3;0;17,010;200;100300025;70;1;2023-11-22;8;3
2023-11-22;FLRY3;0;17,010;200;100300025;80;1;2023-11-22;8;3
2023-11-22;FLRY3;0;17,010;100;100300025;90;1;2023-11-22;8;3
2023-11-22;FLRY3;0;17,010;100;100300025;100;1;2023-11-22;1618;3
2023-11-22;FLRY3;0;17,010;100;100300025;110;1;2023-11-22;1618;3
2023-11-22;FLRY3;0;17,010;100;100300025;120;1;2023-11-22;1618;1099
2023-11-22;FLRY3;0;17,010;100;100300025;130;1;2023-11-22;3;1099
2023-11-22;FLRY3;0;17,010;100;100300036;140;1;2023-11-22;1618;3
2023-11-22;FLRY3;0;17,010;100;100300036;150;1;2023-11-22;1618;3
2023-11-22;FLRY3;0;17,010;800;100300036;160;1;2023-11-22;1618;3
2023-11-22;FLRY3;0;17,010;100;100300036;170;1;2023-11-22;1618;308
2023-11-22;FLRY3;0;17,010;100;100300036;180;1;2023-11-22;1618;90
2023-11-22;FLRY3;0;17,020;100;100300041;190;1;2023-11-22;120;85
2023-11-22;FLRY3;0;17,040;400;100300049;200;1;2023-11-22;1618;3
2023-11-22;FLRY3;0;17,010;100;100300552;210;1;2023-11-22;85;93
2023-11-22;FLRY3;0;17,010;100;100300556;220;1;2023-11-22;85;93
2023-11-22;FLRY3;0;17,060;100;100301263;230;1;2023-11-22;1099;85
2023-11-22;FLRY3;0;17,030;100;100320004;240;1;2023-11-22;72;8
2023-11-22;FLRY3;0;17,020;200;100330456;250;1;2023-11-22;1618;40
2023-11-22;FLRY3;0;17,030;100;100332677;260;1;2023-11-22;4090;120
2023-11-22;FLRY3;0;17,010;200;100349578;270;1;2023-11-22;40;16
2023-11-22;FLRY3;0;17,020;100;100353780;280;1;2023-11-22;8;1099
2023-11-22;FLRY3;0;17,030;100;100353782;290;1;2023-11-22;8;85
2023-11-22;FLRY3;0;17,030;100;100353782;300;1;2023-11-22;8;120
2023-11-22;FLRY3;0;17,040;100;100353789;310;1;2023-11-22;45;85
2023-11-22;FLRY3;0;17,020;100;100358288;320;1;2023-11-22;72;3
2023-11-22;FLRY3;0;17,010;500;100358288;330;1;2023-11-22;40;3
2023-11-22;FLRY3;0;17,010;100;100358288;340;1;2023-11-22;120;3
2023-11-22;FLRY3;0;17,010;100;100358288;350;1;2023-11-22;85;3
2023-11-22;FLRY3;0;17,010;200;100358288;360;1;2023-11-22;1618;3
2023-11-22;FLRY3;0;17,030;100;100407545;370;1;2023-11-22;1618;308
2023-11-22;FLRY3;0;17,030;100;100407545;380;1;2023-11-22;1618;40
2023-11-22;FLRY3;0;17,030;300;100407545;390;1;2023-11-22;1618;16
2023-11-22;FLRY3;0;17,030;100;100407545;400;1;2023-11-22;1618;120
2023-11-22;FLRY3;0;17,050;100;100407552;410;1;2023-11-22;45;3
2023-11-22;FLRY3;0;17,050;100;100438992;420;1;2023-11-22;120;3
2023-11-22;FLRY3;0;17,050;300;100525075;430;1;2023-11-22;1618;3
2023-11-22;FLRY3;0;17,050;100;100525075;440;1;2023-11-22;1618;40
2023-11-22;FLRY3;0;17,050;100;100526192;450;1;2023-11-22;72;8
2023-11-22;FLRY3;0;17,050;300;100526192;460;1;2023-11-22;8;8
2023-11-22;FLRY3;0;17,060;100;100526195;470;1;2023-11-22;45;85
2023-11-22;FLRY3;0;17,060;100;100541432;480;1;2023-11-22;120;40
2023-11-22;FLRY3;0;17,060;100;100541454;490;1;2023-11-22;8;8
2023-11-22;FLRY3;0;17,060;100;100541454;500;1;2023-11-22;8;120
2023-11-22;FLRY3;0;17,060;300;100541454;510;1;2023-11-22;8;16
2023-11-22;FLRY3;0;17,070;100;100613778;520;1;2023-11-22;8;1099
2023-11-22;FLRY3;0;17,070;100;100613778;530;1;2023-11-22;72;1099
2023-11-22;FLRY3;0;17,070;100;100613778;540;1;2023-11-22;8;1099
2023-11-22;FLRY3;0;17,090;100;100651266;550;1;2023-11-22;120;45
2023-11-22;FLRY3;0;17,090;100;100655468;560;1;2023-11-22;120;45
2023-11-22;FLRY3;0;17,100;100;100655504;570;1;2023-11-22;308;90
2023-11-22;FLRY3;0;17,100;100;100711690;580;1;2023-11-22;85;90
2023-11-22;FLRY3;0;17,090;300;100731999;590;1;2023-11-22;120;8
2023-11-22;FLRY3;0;17,090;100;100731999;600;1;2023-11-22;72;8
2023-11-22;FLRY3;0;17,100;100;100732002;610;1;2023-11-22;45;90
2023-11-22;FLRY3;0;17,100;100;100734811;620;1;2023-11-22;23;90
2023-11-22;FLRY3;0;17,100;200;100745643;630;1;2023-11-22;238;90
2023-11-22;FLRY3;0;17,100;100;100745643;640;1;2023-11-22;238;40
2023-11-22;FLRY3;0;17,120;100;100834512;650;1;2023-11-22;1618;8
2023-11-22;FLRY3;0;17,120;100;100834512;660;1;2023-11-22;1618;8
2023-11-22;FLRY3;0;17,120;100;100834512;670;1;2023-11-22;1618;16
2023-11-22;FLRY3;0;17,130;100;100834534;680;1;2023-11-22;72;85
2023-11-22;FLRY3;0;17,130;200;100834566;690;1;2023-11-22;72;8
2023-11-22;FLRY3;0;17,140;100;100834570;700;1;2023-11-22;45;8
2023-11-22;FLRY3;0;17,130;300;100834784;710;1;2023-11-22;8;8
2023-11-22;FLRY3;0;17,140;100;100836839;720;1;2023-11-22;1618;40
2023-11-22;FLRY3;0;17,140;1100;100836839;730;1;2023-11-22;1618;45
2023-11-22;FLRY3;0;17,150;100;100836845;740;1;2023-11-22;45;8
2023-11-22;FLRY3;0;17,140;100;100847140;750;1;2023-11-22;72;8
2023-11-22;FLRY3;0;17,130;200;100847141;760;1;2023-11-22;120;8
2023-11-22;FLRY3;0;17,130;1000;100847141;770;1;2023-11-22;8;8
2023-11-22;FLRY3;0;17,140;100;100847145;780;1;2023-11-22;45;8
2023-11-22;FLRY3;0;17,150;100;100900958;790;1;2023-11-22;40;8
2023-11-22;FLRY3;0;17,150;300;100900958;800;1;2023-11-22;40;16
2023-11-22;FLRY3;0;17,160;200;100905075;810;1;2023-11-22;72;40
2023-11-22;FLRY3;0;17,150;800;100913372;820;1;2023-11-22;40;8
2023-11-22;FLRY3;0;17,150;100;100913372;830;1;2023-11-22;72;8
2023-11-22;FLRY3;0;17,160;100;100913376;840;1;2023-11-22;45;8
2023-11-22;FLRY3;0;17,150;100;100943548;850;1;2023-11-22;40;3
2023-11-22;FLRY3;0;17,150;1100;100943555;860;1;2023-11-22;40;120
2023-11-22;FLRY3;0;17,160;100;100943562;870;1;2023-11-22;45;8
2023-11-22;FLRY3;0;17,140;100;101000961;880;1;2023-11-22;72;93
2023-11-22;FLRY3;0;17,140;800;101007197;890;1;2023-11-22;8;238
2023-11-22;FLRY3;0;17,150;500;101025155;900;1;2023-11-22;8;16
2023-11-22;FLRY3;0;17,160;100;101025160;910;1;2023-11-22;45;85
2023-11-22;FLRY3;0;17,160;100;101025164;920;1;2023-11-22;8;40
2023-11-22;FLRY3;0;17,170;3000;101039722;930;1;2023-11-22;1618;120
2023-11-22;FLRY3;0;17,180;100;101039726;940;1;2023-11-22;8;308
2023-11-22;FLRY3;0;17,180;200;101039726;950;1;2023-11-22;8;40
2023-11-22;FLRY3;0;17,190;100;101039729;960;1;2023-11-22;45;120
2023-11-22;FLRY3;0;17,190;100;101039729;970;1;2023-11-22;45;1099
